DATA_SET_ID,FILE_SPECIFICATION_NAME,PRODUCT_ID,VOLUME_ID,PRODUCT_CREATION_TIME,START_TIME,STOP_TIME,EXPOSURE_DURATION,INSTRUMENT_ID,image_filename,download_url,file_type,phase_subdir,filter_id
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001908_11123134246F1B.IMG,1908,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:42:46.295,2011-123T13:42:47.990,1500.000 <millisecond>,FC2,FC21B0001908_11123134246F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001908_11123134246F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001908_11123134246F1B.LBL,1908,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:42:46.295,2011-123T13:42:47.990,1500.000 <millisecond>,FC2,FC21B0001908_11123134246F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001908_11123134246F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001909_11123134331F1B.IMG,1909,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:43:31.170,2011-123T13:43:31.373,9.000 <millisecond>,FC2,FC21B0001909_11123134331F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001909_11123134331F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001909_11123134331F1B.LBL,1909,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:43:31.170,2011-123T13:43:31.373,9.000 <millisecond>,FC2,FC21B0001909_11123134331F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001909_11123134331F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001910_11123134416F1B.IMG,1910,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:44:16.174,2011-123T13:44:17.865,1500.000 <millisecond>,FC2,FC21B0001910_11123134416F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001910_11123134416F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001910_11123134416F1B.LBL,1910,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:44:16.174,2011-123T13:44:17.865,1500.000 <millisecond>,FC2,FC21B0001910_11123134416F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001910_11123134416F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001911_11123134501F1B.IMG,1911,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:45:01.170,2011-123T13:45:01.373,9.000 <millisecond>,FC2,FC21B0001911_11123134501F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001911_11123134501F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001911_11123134501F1B.LBL,1911,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:45:01.170,2011-123T13:45:01.373,9.000 <millisecond>,FC2,FC21B0001911_11123134501F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001911_11123134501F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001912_11123134548F1B.IMG,1912,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:45:48.736,2011-123T13:45:50.428,1500.000 <millisecond>,FC2,FC21B0001912_11123134548F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001912_11123134548F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001912_11123134548F1B.LBL,1912,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:45:48.736,2011-123T13:45:50.428,1500.000 <millisecond>,FC2,FC21B0001912_11123134548F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001912_11123134548F1B.LBL,LBL,approach,F1
